Date,Price,Open,High,Low,Vol.,Change %
14-Nov-21,2.0398,2.0505,2.0693,2.0103,111.32M,-0.52%
13-Nov-21,2.0505,2.0452,2.0792,2.0215,190.95M,0.26%
12-Nov-21,2.0452,2.08,2.0984,1.9919,300.50M,-1.67%
11-Nov-21,2.08,2.1004,2.1521,2.062,406.24M,-0.97%
10-Nov-21,2.1004,2.2675,2.3263,1.9428,845.19M,-7.36%
9-Nov-21,2.2673,2.1256,2.3746,2.1058,849.35M,6.66%
8-Nov-21,2.1256,2.0197,2.1382,2.0094,287.42M,5.31%
7-Nov-21,2.0185,2.0048,2.034,1.975,155.52M,0.70%
6-Nov-21,2.0045,1.9814,2.0374,1.9437,175.90M,1.16%
5-Nov-21,1.9815,1.9826,2.0168,1.961,202.76M,-0.11%
4-Nov-21,1.9836,2.0622,2.1026,1.9488,369.44M,-3.81%
3-Nov-21,2.0622,1.9695,2.1429,1.9502,505.06M,4.71%
2-Nov-21,1.9694,1.9488,1.9949,1.9348,211.94M,1.06%
1-Nov-21,1.9488,1.9656,2.0178,1.9159,270.39M,-0.82%
31-Oct-21,1.9649,1.9547,2.025,1.9182,244.03M,0.52%
30-Oct-21,1.9547,2.0133,2.0179,1.9271,222.19M,-2.85%
29-Oct-21,2.0121,1.9862,2.0461,1.981,287.00M,1.33%
28-Oct-21,1.9856,1.9107,2.0578,1.9079,546.72M,3.92%
27-Oct-21,1.9107,2.1369,2.155,1.8102,643.95M,-10.59%
26-Oct-21,2.1369,2.1448,2.2006,2.1244,240.93M,-0.36%
25-Oct-21,2.1448,2.1192,2.1767,2.1145,164.12M,1.20%
24-Oct-21,2.1192,2.1655,2.1679,2.093,158.55M,-2.10%
23-Oct-21,2.1646,2.1551,2.1744,2.1337,158.87M,0.45%
22-Oct-21,2.1549,2.1368,2.2094,2.1304,277.28M,0.85%
21-Oct-21,2.1368,2.1884,2.2969,2.1341,445.86M,-2.34%
20-Oct-21,2.188,2.1099,2.2063,2.0919,224.73M,3.66%
19-Oct-21,2.1106,2.1288,2.1571,2.0928,179.35M,-0.85%
18-Oct-21,2.1288,2.1573,2.1739,2.1074,178.76M,-1.31%
17-Oct-21,2.1571,2.1765,2.1883,2.0952,191.46M,-0.89%
16-Oct-21,2.1765,2.2172,2.2492,2.1704,264.83M,-1.79%
15-Oct-21,2.2162,2.1725,2.2419,2.1392,348.05M,2.01%
14-Oct-21,2.1725,2.1877,2.2227,2.1573,203.22M,-0.70%
13-Oct-21,2.1877,2.1171,2.1983,2.082,248.18M,3.34%
12-Oct-21,2.1169,2.1714,2.1714,2.0729,290.96M,-2.51%
11-Oct-21,2.1715,2.1892,2.249,2.1185,242.66M,-0.82%
10-Oct-21,2.1895,2.2679,2.2767,2.1658,189.65M,-3.36%
9-Oct-21,2.2656,2.2363,2.2998,2.2208,147.26M,1.38%
8-Oct-21,2.2348,2.2765,2.3109,2.2198,178.97M,-1.82%
7-Oct-21,2.2762,2.2101,2.3712,2.1521,324.64M,3.00%
6-Oct-21,2.2099,2.233,2.25,2.1125,235.79M,-1.04%
5-Oct-21,2.233,2.1902,2.2569,2.1799,168.24M,1.96%
4-Oct-21,2.19,2.2511,2.2521,2.1512,192.08M,-2.71%
3-Oct-21,2.2511,2.2487,2.3081,2.222,193.75M,0.10%
2-Oct-21,2.2488,2.2554,2.3207,2.1938,274.02M,-0.37%
1-Oct-21,2.2572,2.1162,2.2735,2.0929,328.38M,6.66%
30-Sep-21,2.1164,2.0655,2.1349,2.0515,250.07M,2.45%
29-Sep-21,2.0658,2.037,2.1424,2.022,272.69M,1.43%
28-Sep-21,2.0367,2.1312,2.1716,2.03,289.31M,-4.41%
27-Sep-21,2.1307,2.209,2.2726,2.1293,288.51M,-3.52%
26-Sep-21,2.2084,2.2985,2.2999,2.149,452.94M,-3.92%
25-Sep-21,2.2985,2.278,2.4553,2.2395,649.94M,0.90%
24-Sep-21,2.278,2.3277,2.3436,2.07,656.06M,-2.13%
23-Sep-21,2.3277,2.2577,2.3442,2.1808,355.13M,3.03%
22-Sep-21,2.2591,1.9842,2.2659,1.9691,564.97M,13.92%
21-Sep-21,1.983,2.0684,2.2239,1.9132,795.40M,-4.13%
20-Sep-21,2.0684,2.2827,2.2884,1.9827,-,-9.39%
19-Sep-21,2.2827,2.3719,2.3959,2.2612,222.62M,-3.76%
18-Sep-21,2.3719,2.3476,2.4374,2.3126,193.89M,1.04%
17-Sep-21,2.3476,2.4171,2.4396,2.3227,235.04M,-2.90%
16-Sep-21,2.4176,2.5026,2.5119,2.3821,358.13M,-3.39%
15-Sep-21,2.5025,2.395,2.5811,2.3643,444.87M,4.56%
14-Sep-21,2.3934,2.4029,2.4362,2.324,416.79M,-0.42%
13-Sep-21,2.4036,2.5829,2.5922,2.3112,683.87M,-6.96%
12-Sep-21,2.5833,2.6352,2.7866,2.5061,837.41M,-1.98%
11-Sep-21,2.6354,2.3834,2.7945,2.3699,9.74M,10.62%
10-Sep-21,2.3825,2.5164,2.5848,2.2786,80.92M,-5.31%
9-Sep-21,2.5161,2.4699,2.6202,2.3969,573.39M,1.87%
8-Sep-21,2.4699,2.5047,2.5614,2.2011,785.86M,-1.39%
7-Sep-21,2.5047,2.8323,2.8747,2.0316,1.24B,-11.57%
6-Sep-21,2.8323,2.9106,2.9257,2.7968,324.01M,-2.71%
5-Sep-21,2.9112,2.8302,2.9552,2.824,283.80M,2.86%
4-Sep-21,2.8302,2.9653,2.9653,2.807,128.51M,-4.55%
3-Sep-21,2.9652,2.961,3.0291,2.903,359.20M,0.14%
2-Sep-21,2.961,2.8695,3.0989,2.8368,555.92M,3.17%
1-Sep-21,2.87,2.7693,2.9012,2.7226,331.41M,3.63%
31-Aug-21,2.7693,2.734,2.8789,2.7068,392.37M,1.25%
30-Aug-21,2.7353,2.8527,2.8833,2.7226,390.90M,-4.12%
29-Aug-21,2.8527,2.8464,2.9287,2.7251,396.34M,0.21%
28-Aug-21,2.8467,2.946,2.9492,2.776,400.80M,-3.37%
27-Aug-21,2.9459,2.5295,2.9459,2.4992,638.38M,16.22%
26-Aug-21,2.5347,2.7402,2.7846,2.4701,-,-7.50%
25-Aug-21,2.7402,2.7243,2.7958,2.6124,603.58M,0.58%
24-Aug-21,2.7242,2.9165,2.9463,2.5985,844.24M,-6.55%
23-Aug-21,2.9153,2.7058,2.9701,2.6898,841.88M,7.70%
22-Aug-21,2.7068,2.436,2.7184,2.4337,621.80M,11.12%
21-Aug-21,2.436,2.4553,2.5288,2.387,349.36M,-0.78%
20-Aug-21,2.4553,2.439,2.5794,2.3734,810.94M,0.67%
19-Aug-21,2.439,2.1049,2.4522,2.0464,867.20M,15.61%
18-Aug-21,2.1097,1.9253,2.1611,1.8787,590.03M,9.57%
17-Aug-21,1.9255,2.0729,2.1401,1.9131,437.15M,-7.11%
16-Aug-21,2.0729,2.1669,2.1963,2.0485,509.15M,-4.38%
15-Aug-21,2.1679,2.1888,2.2493,2.0321,718.04M,-0.96%
14-Aug-21,2.1889,2.137,2.251,2.089,1.05B,2.43%
13-Aug-21,2.137,1.8288,2.1475,1.8233,994.02M,16.85%
12-Aug-21,1.8288,1.7976,1.8669,1.6808,69.99M,1.72%
11-Aug-21,1.7979,1.6776,1.8917,1.6703,810.29M,7.22%
10-Aug-21,1.6768,1.4754,1.6994,1.4576,558.57M,13.67%
9-Aug-21,1.4752,1.4262,1.4987,1.3947,322.95M,3.42%
8-Aug-21,1.4264,1.4735,1.4943,1.4077,337.15M,-3.24%
7-Aug-21,1.4741,1.4011,1.4846,1.3958,396.61M,5.21%
